日期,動作,原直譯,原修正,修改後直譯,修改後修正,修改原因
2018.12.31,刪除,下面,下麵,,,直譯詞另有意義
2018.12.31,刪除,修復,修複,,,直譯為正確詞
2018.12.31,編輯,公裏,公裡,公裏,公里,錯字
2018.12.31,刪除,刮了,颳了,,,直譯詞另有意義
2018.12.31,刪除,制裁,製裁,,,直譯詞另有意義
2018.12.31,刪除,剛才,剛纔,,,直譯為正確詞
2018.12.31,刪除,報復,報複,,,直譯為正確詞
2018.12.31,刪除,復活,複活,,,直譯為正確詞
2018.12.31,刪除,炸藥,炸葯,,,直譯為正確詞
2018.12.31,刪除,盡力,儘力,,,直譯為正確詞
2018.12.31,刪除,興致,興緻,,,直譯為正確詞
2019.01.02,刪除,一出,一齣,,,直譯詞另有意義
2019.01.02,新增,,,一出戲,一齣戲,「一出」為量詞時，須修正
2019.01.02,新增,,,一出劇,一齣劇,「一出」為量詞時，須修正
2019.01.02,新增,,,人類智能,人類智慧,新詞
2019.01.02,新增,,,人工超級智能,人工超級智慧,新詞
2019.01.02,新增,,,布達佩斯,布達佩斯,讓最大正向匹配跳過「布達」
2019.01.02,新增,,,的士兵,的士兵,讓最大正向匹配跳過「的士」
2019.01.02,新增,,,這只是,這只是,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,這只有,這只有,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,這只會,這只會,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,這只能,這只能,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,這只好,這只好,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,這只不過,這只不過,讓最大正向匹配跳過「這只」
2019.01.02,新增,,,那只是,那只是,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,那只有,那只有,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,那只會,那只會,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,那只能,那只能,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,那只好,那只好,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,那只不過,那只不過,讓最大正向匹配跳過「那只」
2019.01.02,新增,,,想象,想像,新詞
2019.01.02,新增,,,攝像頭,攝影機,新詞
2019.01.02,新增,,,註重,注重,新詞
2019.01.02,新增,,,采取,採取,新詞
2019.01.02,新增,,,關註,關注,新詞
2019.01.02,新增,,,註意,注意,新詞
2019.01.02,新增,,,鬥誌,鬥志,新詞
2019.01.02,新增,,,勵誌,勵志,新詞
2019.01.02,新增,,,幹擾,干擾,新詞
2019.01.02,新增,,,鹀,鵐,新詞
2019.01.02,新增,,,抑郁,抑鬱,新詞
2019.01.02,新增,,,躁郁,躁鬱,新詞
2019.01.02,新增,,,恒,恆,新詞
2019.01.02,新增,,,倒黴,倒霉,新詞
2019.01.02,新增,,,真贊,真讚,新詞
2019.01.02,新增,,,咖喱,咖哩,新詞
2019.01.02,新增,,,業余,業餘,新詞
2019.01.02,新增,,,冰激淩,冰淇淋,新詞
2019.01.02,新增,,,幹紅,乾紅,新詞
2019.01.02,新增,,,郁悶,鬱悶,新詞
2019.01.02,新增,,,賭註,賭注,新詞
2019.01.02,新增,,,下註,下注,新詞
2019.01.02,新增,,,嘍啰,嘍囉,新詞
2019.01.02,新增,,,錶演,表演,新詞
2019.01.02,新增,,,註入,注入,新詞
2019.01.02,新增,,,意誌,意志,新詞
2019.01.02,新增,,,其余,其餘,新詞
2019.01.02,新增,,,專註,專注,新詞
2019.01.02,新增,,,葯,藥,新詞
2019.01.02,新增,,,幹預,干預,新詞
2019.01.02,新增,,,薛定諤,薛丁格,新詞
2019.01.02,新增,,,采用,採用,新詞
2019.01.02,新增,,,癥,症,新詞
2019.01.02,新增,,,泄出,洩出,新詞
2019.01.02,新增,,,幹淨,乾淨,新詞
2019.01.02,新增,,,幹糧,乾糧,新詞
2019.01.02,新增,,,裏科塔,里考塔,新詞
2019.01.02,新增,,,縱欲,縱慾,新詞
2019.01.02,新增,,,管制藥物,管制藥物,新詞
2019.01.02,新增,,,斯裏蘭卡,斯里蘭卡,新詞
2019.01.02,新增,,,征稅,徵稅,新詞
2019.01.02,新增,,,贊嘆,讚嘆,新詞
2019.01.02,新增,,,精英,菁英,新詞
2019.01.02,新增,,,閑,閒,新詞
2019.01.02,新增,,,幹脆,乾脆,新詞
2019.01.02,新增,,,哎呦餵,哎呦喂,新詞
2019.01.02,新增,,,求知欲,求知慾,新詞
2019.01.02,新增,,,犯困,犯睏,新詞
2019.01.02,新增,,,幹嗎,幹嘛,新詞
2019.01.02,新增,,,複發,復發,新詞
2019.01.02,新增,,,干涉,干涉,新詞
2019.01.02,新增,,,幸存,倖存,新詞
2019.01.02,新增,,,剩余,剩餘,新詞
2019.01.02,新增,,,複仇,復仇,新詞
2019.01.02,新增,,,特征,特徵,新詞
2019.01.02,新增,,,複制,複製,新詞
2019.01.02,新增,,,幹燥,乾燥,新詞
2019.01.02,新增,,,千層闊面,千層麵,新詞
2019.01.02,新增,,,食欲,食慾,新詞
2019.01.02,新增,,,烏幹達,烏干達,新詞
2019.01.02,新增,,,應征,應徵,新詞
2019.01.02,新增,,,小醜,小丑,新詞
2019.01.02,新增,,,註射,注射,新詞
2019.01.02,新增,,,欲望,慾望,新詞
2019.01.02,新增,,,不遺余力,不遺餘力,新詞
2019.01.02,新增,,,幹淨,乾淨,新詞
2019.01.02,新增,,,誌願,志願,新詞
2019.01.02,新增,,,氟裏昂,氟里昂,新詞
2019.01.02,新增,,,註視,注視,新詞
2019.01.02,新增,,,征用,徵用,新詞
2019.01.02,新增,,,升華,昇華,新詞
2019.01.02,新增,,,王後,王后,新詞
2019.01.02,新增,,,屍位素餐,尸位素餐,新詞
2019.01.02,新增,,,卸載,解除安裝,新詞
2019.01.02,新增,,,恐怖分子,恐怖份子,新詞
2019.01.02,新增,,,女仆,女僕,新詞
2019.01.02,新增,,,征兆,徵兆,新詞
2019.01.02,新增,,,幹酪,起司,新詞
2019.01.02,新增,,,榨幹,榨乾,新詞
2019.01.02,新增,,,誌同道合,志同道合,新詞
2019.01.02,新增,,,拜托,拜託,新詞
2019.01.02,新增,,,英裏,英里,讓最大正向匹配跳過「裏」
